"ID"	"Taxonomy"
"KC539596.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Ulmaceae; g__Phyllostylon; s__rhamnoides"
"EU091590.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__kochummeniana"
"MN905587.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Amelanchier; s__sanguinea"
"KP858893.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__laetevirens"
"KP858788.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__fruticosum"
"MG237655.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Oemleria; s__cerasiformis"
"AY730102.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__thonningii"
"MN577909.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cotoneaster; s__frigidus"
"KM037274.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__constrictus"
"EU091577.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__amplissima"
"EU091656.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__disticha"
"KM037489.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__praecox"
"KM037481.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__praecox"
"KC539597.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Ulmaceae; g__Ampelocera; s__hottlei"
"MN577918.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rhaphiolepis; s__salwinensis"
"KF137845.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Droguetia; s__iners"
"KP858804.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__paivaeanum"
"KM037213.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__bifrons"
"KM037644.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__wahlbergii"
"EF545657.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__lilliputiana"
"AY730088.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__petiolaris"
"KC896708.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__cochinchinensis"
"KM037671.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__divaricatus"
"EF545652.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__brachypoda"
"KM037538.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__schleicheri"
"KC420484.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__hybrid"
"KM037370.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__grabowskii"
"EU091624.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__iodotricha"
