"ID"	"Taxonomy"
"KF137938.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Urtica; s__hyperborea"
"KP858799.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__incisum"
"KP858878.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__asterocephalum"
"KF137885.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Nothocnide; s__mollissima"
"MN216004.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Hesperomeles; s__obovata"
"KM037189.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__sp."
"FJ031128.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cliffortia; s__hexandra"
"KP858835.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__lineare"
"KC420471.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__hybrid"
"KF137816.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Boehmeria; s__penduliflora"
"MN216003.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Hesperomeles; s__glabrata"
"KM037615.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__ulmifolius"
"HQ144170.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Morus; s__alba"
"KP858879.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__tianeense"
"MN216005.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Sorbus; s__aria"
"KC420464.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__hybrid"
"EU091600.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__clusiifolia"
"KM037353.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__sp."
"LC507628.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Nanocnide; s__pilosa"
"KM037233.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__caesius"
"KM037565.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__grossus"
"KM037569.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__sprengelii"
"HG004863.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__cf."
"MN577898.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Photinia; s__serratifolia"
"KM037549.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__scissoides"
"FJ031108.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cliffortia; s__multiformis"
"FJ031156.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cliffortia; s__alata"
"MH317262.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Parietaria; s__debilis"
"MN216013.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Pyracantha; s__fortuneana"
"FJ572043.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Prunus; s__dulcis"
"FJ031120.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cliffortia; s__crenata"
"KM037389.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__grossus"
"KM037442.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__nessensis"
"HQ144179.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Morus; s__rubra"
"KP858866.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__involucratum"
"KM037498.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__pruinosus"
"AF223066.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Cannabaceae; g__Humulus; s__lupulus"
"KF861967.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cydonia; s__oblonga"
"KC539576.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Ulmaceae; g__Ulmus; s__alata"
"MN905582.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Amelanchier; s__cusickii"
"KM037258.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__aff."
"KC420466.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__hybrid"
"MN216000.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Phippsiomeles; s__microcarpa"
"KC420480.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__hybrid"
"MH135779.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Broussonetia; s__luzonica"
"KF137851.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__longibracteatum"
"MN216018.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Pourthiaea; s__tomentosa"
"KM037576.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__sulcatus"
"KM037634.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__vratnensis"
"KM037390.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__hypomalacus"
"FJ750387.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Boehmeria; s__glomerulifera"
"KP858778.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Pouzolzia; s__hirta"
"KM037248.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__canescens"
"KC539577.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Ulmaceae; g__Planera; s__aquatica"
"EU091602.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__costaricana"
"KM037596.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__sanctus"
"KP858810.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__radicans"
"AY083372.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__flagellaris"
"EU747124.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Boehmeria; s__clidemioides"
"LC507616.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Nanocnide; s__pilosa"
"AJ876561.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Sibiraea; s__altaiensis"
"LC507623.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Nanocnide; s__japonica"
"KM037470.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__sp."
"AY730103.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__elasticoides"
"AY730117.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__triradiata"
"KM037222.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__bohemiicola"
"KF137801.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Australina; s__flaccida"
"FJ031116.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cliffortia; s__amplexistipula"
"KF137858.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Fatoua; s__villosa"
"AY730131.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__coronata"
"FJ031160.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cliffortia; s__integerrima"
"KM037491.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__perrobustus"
"MN577917.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Vauquelinia; s__australis"
"HG004868.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rhamnaceae; g__Ziziphus; s__cf."
"KF137889.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Pellionia; s__macrophylla"
"FN430780.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Potentilla; s__erecta"
"FJ031104.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cliffortia; s__repens"
"KP858817.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__calcareum"
"LC507622.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Urtica; s__thunbergiana"
"EF545659.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__obliqua"
"KM037546.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__scissoides"
"MN577897.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rhaphiolepis; s__indica"
"EU072554.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Alchemilla; s__pentaphyllea"
"MH317280.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Soleirolia; s__soleirolii"
"KM037416.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__incanescens"
"KM037458.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__palmensis"
"KP858851.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__gracilipes"
"MN215992.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Malus; s__sieversii"
"GQ179666.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Prunus; s__cornuta"
"DQ455645.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__faulkneriana"
"AY730094.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__stuhlmannii"
"KF241110.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Prunus; s__pseudocerasus"
"DQ455641.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__ovata"
"AY730067.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__menabeensis"
"AB762287.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Pyrus; s__ussuriensis"
"KF137831.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Debregeasia; s__longifolia"
"FJ599759.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Morus; s__alba"
"EU091634.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__squamosa"
"KM037220.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__bohemiicola"
"KF137805.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Boehmeria; s__densiflora"
"MN215990.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Osteomeles; s__schwerinae"
"KP858792.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__vittatum"
"KF137944.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Urtica; s__zayuensis"
"EU091572.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__vasculosa"
"KF137860.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Forsskaolea; s__angustifolia"
"KM037531.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__rhamnifolius"
"EU091603.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__krukovii"
"LC507641.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Laportea; s__cuspidata"
"MN577932.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Kageneckia; s__oblonga"
"AY730081.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__gomelleira"
"KM037212.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__bifrons"
"KM037431.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__montanus"
"MN215984.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Malus; s__angustifolia"
"KF241102.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Prunus; s__pseudocerasus"
"KM037639.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__sp."
"EU091677.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Moraceae; g__Ficus; s__subulata"
"FJ031158.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Cliffortia; s__integerrima"
"FN430827.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Potentilla; s__grammopetala"
"FM164948.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rosa; s__dumalis"
"KM037459.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Rubus; s__palmensis"
"MN577904.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Rosaceae; g__Chaenomeles; s__sinensis"
"KP858882.1"	"k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Rosales; f__Urticaceae; g__Elatostema; s__sublineare"
